2025-05-30 09:53:24 | INFO | PID:16248 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-05-30 09:53:24 | INFO | PID:16248 | Created new channel
2025-05-30 09:53:24 | INFO | PID:16248 | Declared queue: article-input-queue
2025-05-30 09:53:24 | INFO | PID:16248 | Available workers: ['testworker', 'url_rewriter_para_worker']
2025-05-30 09:53:24 | INFO | PID:16248 | Found worker class: UrlRewriterParallelWorker
2025-05-30 09:53:24 | WARNING | PID:16248 | Detected localhost connection - disabling SSL verification for development
2025-05-30 09:53:24 | WARNING | PID:16248 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-05-30 09:53:24 | INFO | PID:16248 | Worker instance created
2025-05-30 09:53:24 | INFO | PID:16248 | Registered worker process 16248 in registry
2025-05-30 09:53:24 | INFO | PID:16248 | Starting consuming on article-input-queue
2025-05-30 09:53:25 | INFO | PID:16248 | Started url_rewriter_para_worker on queue: article-input-queue
2025-05-30 09:53:25 | INFO | PID:16248 | Started url_rewriter_para_worker with PID: 16248, queue: article-input-queue
2025-05-30 09:53:29 | WARNING | PID:16248 | No open connection/channel: connecting...
2025-05-30 09:53:29 | INFO | PID:16248 | Successfully connected on attempt 1
2025-05-30 09:53:29 | INFO | PID:16248 | Consumer registered on queue: article-input-queue
2025-05-30 09:53:29 | INFO | PID:16248 | Starting consuming on article-input-queue
2025-05-30 09:53:29 | INFO | PID:16248 | Processing message from queue: article-input-queue
