2025-05-28 10:01:20 | INFO | PID:3468 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-05-28 10:01:20 | INFO | PID:3468 | Created new channel
2025-05-28 10:01:20 | INFO | PID:3468 | Declared queue: article-input-queue
2025-05-28 10:01:21 | INFO | PID:3468 | Available workers: ['testworker', 'url_rewriter_para_worker']
2025-05-28 10:01:21 | INFO | PID:3468 | Found worker class: UrlRewriterParallelWorker
2025-05-28 10:01:21 | WARNING | PID:3468 | Detected localhost connection - disabling SSL verification for development
2025-05-28 10:01:21 | WARNING | PID:3468 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-05-28 10:01:21 | INFO | PID:3468 | Worker instance created
2025-05-28 10:01:21 | INFO | PID:3468 | Registered worker process 3468 in registry
2025-05-28 10:01:21 | INFO | PID:3468 | Starting consuming on article-input-queue
2025-05-28 10:01:21 | INFO | PID:3468 | Started url_rewriter_para_worker on queue: article-input-queue
2025-05-28 10:01:21 | INFO | PID:3468 | Started url_rewriter_para_worker with PID: 3468, queue: article-input-queue
2025-05-28 10:01:26 | WARNING | PID:3468 | No open connection/channel: connecting...
2025-05-28 10:01:26 | INFO | PID:3468 | Successfully connected on attempt 1
2025-05-28 10:01:26 | INFO | PID:3468 | Consumer registered on queue: article-input-queue
2025-05-28 10:01:26 | INFO | PID:3468 | Starting consuming on article-input-queue
2025-05-28 10:01:44 | INFO | PID:3468 | Processing message from queue: article-input-queue
