2025-05-31 10:13:35 | INFO | PID:12032 | Declared queue: article-input-queue
2025-05-31 10:13:35 | INFO | PID:12032 | Available workers: ['testworker', 'url_rewriter_para_worker']
2025-05-31 10:13:35 | INFO | PID:12032 | Found worker class: UrlRewriterParallelWorker
2025-05-31 10:13:35 | WARNING | PID:12032 | Detected localhost connection - disabling SSL verification for development
2025-05-31 10:13:35 | WARNING | PID:12032 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-05-31 10:13:35 | INFO | PID:12032 | Worker instance created
2025-05-31 10:13:35 | INFO | PID:12032 | Registered worker process 12032 in registry
2025-05-31 10:13:35 | INFO | PID:12032 | Starting consuming on article-input-queue
2025-05-31 10:13:36 | INFO | PID:12032 | Started url_rewriter_para_worker on queue: article-input-queue
2025-05-31 10:13:36 | INFO | PID:12032 | Started url_rewriter_para_worker with PID: 12032, queue: article-input-queue
2025-05-31 10:13:40 | WARNING | PID:12032 | No open connection/channel: connecting...
2025-05-31 10:13:40 | INFO | PID:12032 | Successfully connected on attempt 1
2025-05-31 10:13:40 | INFO | PID:12032 | Consumer registered on queue: article-input-queue
2025-05-31 10:13:40 | INFO | PID:12032 | Starting consuming on article-input-queue
2025-05-31 10:13:56 | INFO | PID:12032 | Processing message from queue: article-input-queue
