2025-04-17 09:41:17 | INFO | PID:12628 | Queue 'article-input-queue' created successfully
2025-04-17 09:41:20 | INFO | PID:12628 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 09:41:23 | INFO | PID:12628 | Started worker process 1232
2025-04-17 10:10:36 | INFO | PID:17512 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:10:39 | INFO | PID:17512 | Started worker process 2252
2025-04-17 10:12:49 | INFO | PID:16076 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:12:52 | INFO | PID:16076 | Started worker process 2712
2025-04-17 10:14:16 | INFO | PID:7960 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:14:19 | INFO | PID:7960 | Started worker process 19332
2025-04-17 10:15:15 | INFO | PID:28164 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:15:18 | INFO | PID:28164 | Started worker process 10036
2025-04-17 10:16:41 | INFO | PID:5548 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:16:44 | INFO | PID:5548 | Started worker process 22136
2025-04-17 10:21:24 | INFO | PID:22096 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:21:27 | INFO | PID:22096 | Started worker process 27144
2025-04-17 10:23:31 | INFO | PID:32552 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:23:34 | INFO | PID:32552 | Started worker process 14308
2025-04-17 10:24:32 | INFO | PID:13116 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:24:36 | INFO | PID:13116 | Started worker process 8068
2025-04-17 10:26:29 | INFO | PID:12256 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:26:32 | INFO | PID:12256 | Started worker process 26168
2025-04-17 10:27:47 | INFO | PID:26236 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:27:50 | INFO | PID:26236 | Started worker process 20840
2025-04-17 10:29:03 | INFO | PID:26500 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:29:06 | INFO | PID:26500 | Started worker process 12688
2025-04-17 10:30:28 | INFO | PID:1888 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:30:31 | INFO | PID:1888 | Started worker process 22724
2025-04-17 10:32:01 | INFO | PID:1888 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:32:04 | INFO | PID:1888 | Started worker process 30948
2025-04-17 10:42:29 | INFO | PID:32068 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 10:42:30 | INFO | PID:19348 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-04-17 10:42:30 | INFO | PID:19348 | Created new channel
2025-04-17 10:42:30 | INFO | PID:19348 | Declared queue: article-input-queue
2025-04-17 10:42:30 | INFO | PID:19348 | Available workers: ['url_rewriter_para_worker']
2025-04-17 10:42:30 | INFO | PID:19348 | Found worker class: UrlRewriterParallelWorker
2025-04-17 10:42:32 | INFO | PID:32068 | Started worker process 19348
2025-04-17 11:18:43 | INFO | PID:32068 | Found 0 existing workers for url_rewriter_para_worker on article-input-queue
2025-04-17 11:18:45 | INFO | PID:3172 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-04-17 11:18:45 | INFO | PID:3172 | Created new channel
2025-04-17 11:18:45 | INFO | PID:3172 | Declared queue: article-input-queue
2025-04-17 11:18:45 | INFO | PID:3172 | Available workers: ['url_rewriter_para_worker']
2025-04-17 11:18:45 | INFO | PID:3172 | Found worker class: UrlRewriterParallelWorker
2025-04-17 11:18:46 | INFO | PID:32068 | Started worker process 3172
