2025-05-27 10:36:43 | INFO | PID:10616 | Queue 'article-input-queue' created successfully
2025-05-27 10:37:01 | INFO | PID:26796 | Starting worker url_rewriter_para_worker for queue article-input-queue
2025-05-27 10:37:01 | INFO | PID:26796 | Created new channel
2025-05-27 10:37:01 | INFO | PID:26796 | Declared queue: article-input-queue
2025-05-27 10:37:01 | INFO | PID:26796 | Available workers: ['testworker', 'url_rewriter_para_worker']
2025-05-27 10:37:01 | INFO | PID:26796 | Found worker class: UrlRewriterParallelWorker
2025-05-27 10:37:01 | WARNING | PID:26796 | Detected localhost connection - disabling SSL verification for development
2025-05-27 10:37:01 | WARNING | PID:26796 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-05-27 10:37:01 | INFO | PID:26796 | Worker instance created
2025-05-27 10:37:01 | INFO | PID:26796 | Registered worker process 26796 in registry
2025-05-27 10:37:01 | INFO | PID:26796 | Starting consuming on article-input-queue
2025-05-27 10:37:01 | INFO | PID:26796 | Started url_rewriter_para_worker on queue: article-input-queue
2025-05-27 10:37:01 | INFO | PID:26796 | Started url_rewriter_para_worker with PID: 26796, queue: article-input-queue
2025-05-27 10:37:06 | WARNING | PID:26796 | No open connection/channel: connecting...
2025-05-27 10:37:06 | INFO | PID:26796 | Successfully connected on attempt 1
2025-05-27 10:37:06 | INFO | PID:26796 | Consumer registered on queue: article-input-queue
2025-05-27 10:37:06 | INFO | PID:26796 | Starting consuming on article-input-queue
2025-05-27 10:37:23 | INFO | PID:26796 | Processing message from queue: article-input-queue
