2025-04-29 12:05:05 | INFO | PID:960 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:05:05 | INFO | PID:960 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:05:07 | INFO | PID:7648 | Started worker process 960
2025-04-29 12:17:41 | INFO | PID:15792 | Queue '28dbd663-925c-474c-8eea-08a92c9458e8_url-re' created successfully
2025-04-29 12:18:03 | INFO | PID:15792 | Queue '1f156b22-1b51-4a7e-b31c-ab8aa447ce6e_url-re' created successfully
2025-04-29 12:23:39 | INFO | PID:15792 | Queue '88ad8c4b-ad27-4bee-a033-fea52f82c801_url-re' created successfully
2025-04-29 12:23:40 | INFO | PID:15792 | Queue '88ad8c4b-ad27-4bee-a033-fea52f82c801_manual' created successfully
2025-04-29 12:23:50 | INFO | PID:15792 | Queue '8bdc51b2-eeff-4a1b-84a6-51f6770d3fed_url-re' created successfully
2025-04-29 12:23:51 | INFO | PID:15792 | Queue '8bdc51b2-eeff-4a1b-84a6-51f6770d3fed_manual' created successfully
2025-04-29 12:24:48 | INFO | PID:15792 | Updated worker name after removing '.py': manual
2025-04-29 12:24:52 | INFO | PID:15792 | Updated worker name after removing '.py': manual
2025-04-29 12:24:57 | INFO | PID:15792 | Updated worker name after removing '.py': manual
2025-04-29 12:25:45 | INFO | PID:15792 | Delete response status: 204, content: 
2025-04-29 12:25:45 | SUCCESS | PID:15792 | Queue '88ad8c4b-ad27-4bee-a033-fea52f82c801_manual' deleted successfully
2025-04-29 12:25:45 | INFO | PID:15792 | Delete response status: 204, content: 
2025-04-29 12:25:45 | SUCCESS | PID:15792 | Queue '8bdc51b2-eeff-4a1b-84a6-51f6770d3fed_manual' deleted successfully
2025-04-29 12:25:45 | INFO | PID:15792 | Queue '88ad8c4b-ad27-4bee-a033-fea52f82c801_manual' created successfully
2025-04-29 12:25:55 | INFO | PID:15792 | Delete response status: 204, content: 
2025-04-29 12:25:55 | SUCCESS | PID:15792 | Queue '88ad8c4b-ad27-4bee-a033-fea52f82c801_url-re' deleted successfully
2025-04-29 12:25:55 | INFO | PID:15792 | Delete response status: 204, content: 
2025-04-29 12:25:55 | SUCCESS | PID:15792 | Queue '8bdc51b2-eeff-4a1b-84a6-51f6770d3fed_url-re' deleted successfully
2025-04-29 12:25:55 | INFO | PID:15792 | Queue '88ad8c4b-ad27-4bee-a033-fea52f82c801_url-re' created successfully
2025-04-29 12:29:09 | INFO | PID:15792 | Queue 'f46ce330-0a31-49e4-986d-b3e3b42801bc_manual' created successfully
2025-04-29 12:29:09 | INFO | PID:15792 | Queue 'f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re' created successfully
2025-04-29 12:29:25 | INFO | PID:15792 | Queue '501b60d2-4f5b-4cd9-8df2-6d49341b38f5_manual' created successfully
2025-04-29 12:29:25 | INFO | PID:15792 | Queue '501b60d2-4f5b-4cd9-8df2-6d49341b38f5_url-re' created successfully
2025-04-29 12:30:50 | INFO | PID:15792 | Updated worker name after removing '.py': url_rewriter_para_worker
2025-04-29 12:30:50 | INFO | PID:15792 | Found 0 existing workers for url_rewriter_para_worker on f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:51 | INFO | PID:32120 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:52 | INFO | PID:32120 | Created new channel
2025-04-29 12:30:52 | INFO | PID:32120 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:52 | INFO | PID:32120 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:30:52 | INFO | PID:32120 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:30:53 | INFO | PID:15792 | Started worker process 32120
2025-04-29 12:30:55 | INFO | PID:17000 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:55 | INFO | PID:17000 | Created new channel
2025-04-29 12:30:55 | INFO | PID:17000 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:55 | INFO | PID:17000 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:30:55 | INFO | PID:17000 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:30:56 | INFO | PID:15792 | Updated worker name after removing '.py': url_rewriter_para_worker
2025-04-29 12:30:56 | INFO | PID:15792 | Found 0 existing workers for url_rewriter_para_worker on f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:56 | INFO | PID:15792 | Started worker process 17000
2025-04-29 12:30:57 | INFO | PID:2488 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:58 | INFO | PID:2488 | Created new channel
2025-04-29 12:30:58 | INFO | PID:2488 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:30:58 | INFO | PID:2488 | Available workers: ['url_rewriter_para_worker']
2025-04-29 12:30:58 | INFO | PID:2488 | Found worker class: UrlRewriterParallelWorker
2025-04-29 12:30:59 | INFO | PID:15792 | Started worker process 2488
2025-04-29 12:31:00 | INFO | PID:13232 | Starting worker url_rewriter_para_worker for queue f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
2025-04-29 12:31:00 | INFO | PID:13232 | Created new channel
2025-04-29 12:31:00 | INFO | PID:13232 | Declared queue: f46ce330-0a31-49e4-986d-b3e3b42801bc_url-re
