2025-06-20 11:05:43 | INFO | PID:26280 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-20 11:05:43 | INFO | PID:26280 | Found worker class: UrlRewriterParallelWorker
2025-06-20 11:05:44 | WARNING | PID:26280 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:05:44 | WARNING | PID:26280 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 11:05:44 | WARNING | PID:26280 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:05:44 | WARNING | PID:26280 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 11:05:44 | INFO | PID:26280 | Worker instance created
2025-06-20 11:05:44 | INFO | PID:26280 | Registered worker process 26280 in registry
2025-06-20 11:05:44 | INFO | PID:26280 | Starting consuming on article-response-queue
2025-06-20 11:05:44 | INFO | PID:26280 | Started url_rewriter_para_response_worker on queue: article-response-queue
2025-06-20 11:05:44 | INFO | PID:26280 | Started url_rewriter_para_response_worker with PID: 26280, queue: article-response-queue
2025-06-20 11:05:49 | WARNING | PID:26280 | No open connection/channel: connecting...
2025-06-20 11:05:49 | INFO | PID:26280 | Successfully connected on attempt 1
2025-06-20 11:05:49 | INFO | PID:26280 | Consumer registered on queue: article-response-queue
2025-06-20 11:05:49 | INFO | PID:26280 | Starting consuming on article-response-queue
2025-06-20 11:07:07 | INFO | PID:30160 | Queue 'article-response-queue' created successfully
2025-06-20 11:11:54 | INFO | PID:16204 | Queue 'article-response-queue' created successfully
2025-06-20 11:14:11 | INFO | PID:27688 | Starting worker url_rewriter_para_response_worker for queue article-response-queue
2025-06-20 11:14:11 | INFO | PID:27688 | Created new channel
2025-06-20 11:14:11 | INFO | PID:27688 | Declared queue: article-response-queue
2025-06-20 11:14:11 | INFO | PID:27688 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-20 11:14:11 | INFO | PID:27688 | Found worker class: UrlRewriterParallelWorker
2025-06-20 11:14:11 | WARNING | PID:27688 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:14:11 | WARNING | PID:27688 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 11:14:11 | WARNING | PID:27688 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:14:11 | WARNING | PID:27688 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 11:14:11 | INFO | PID:27688 | Worker instance created
2025-06-20 11:14:11 | INFO | PID:27688 | Registered worker process 27688 in registry
2025-06-20 11:14:11 | INFO | PID:27688 | Starting consuming on article-response-queue
2025-06-20 11:14:12 | INFO | PID:27688 | Started url_rewriter_para_response_worker on queue: article-response-queue
2025-06-20 11:14:12 | INFO | PID:27688 | Started url_rewriter_para_response_worker with PID: 27688, queue: article-response-queue
2025-06-20 11:14:16 | WARNING | PID:27688 | No open connection/channel: connecting...
2025-06-20 11:14:17 | INFO | PID:27688 | Successfully connected on attempt 1
2025-06-20 11:14:17 | INFO | PID:27688 | Consumer registered on queue: article-response-queue
2025-06-20 11:14:17 | INFO | PID:27688 | Starting consuming on article-response-queue
2025-06-20 11:14:18 | ERROR | PID:27688 | Worker url_rewriter_para_response_worker failed to register with RabbitMQ
2025-06-20 11:15:15 | INFO | PID:14952 | Starting worker url_rewriter_para_response_worker for queue article-response-queue
2025-06-20 11:15:15 | INFO | PID:14952 | Created new channel
2025-06-20 11:15:15 | INFO | PID:14952 | Declared queue: article-response-queue
2025-06-20 11:15:16 | INFO | PID:14952 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-20 11:15:16 | INFO | PID:14952 | Found worker class: UrlRewriterParallelWorker
2025-06-20 11:15:16 | WARNING | PID:14952 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:15:16 | WARNING | PID:14952 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 11:15:16 | WARNING | PID:14952 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:15:16 | WARNING | PID:14952 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 11:15:16 | INFO | PID:14952 | Worker instance created
2025-06-20 11:15:16 | INFO | PID:14952 | Registered worker process 14952 in registry
2025-06-20 11:15:16 | INFO | PID:14952 | Starting consuming on article-response-queue
2025-06-20 11:15:16 | INFO | PID:14952 | Started url_rewriter_para_response_worker on queue: article-response-queue
2025-06-20 11:15:16 | INFO | PID:14952 | Started url_rewriter_para_response_worker with PID: 14952, queue: article-response-queue
2025-06-20 11:15:21 | WARNING | PID:14952 | No open connection/channel: connecting...
2025-06-20 11:15:21 | INFO | PID:14952 | Successfully connected on attempt 1
2025-06-20 11:15:21 | INFO | PID:14952 | Consumer registered on queue: article-response-queue
2025-06-20 11:15:21 | INFO | PID:14952 | Starting consuming on article-response-queue
2025-06-20 11:15:23 | ERROR | PID:14952 | Worker url_rewriter_para_response_worker failed to register with RabbitMQ
2025-06-20 11:18:08 | INFO | PID:29324 | Delete response status: 204, content: 
2025-06-20 11:18:08 | SUCCESS | PID:29324 | Queue 'article-response-queue' deleted successfully
2025-06-20 11:18:20 | INFO | PID:29324 | Queue 'article-response-queue' created successfully
2025-06-20 11:18:44 | INFO | PID:29324 | Queue 'article-reqest-queue' created successfully
2025-06-20 11:19:02 | INFO | PID:29324 | Queue 'article-request-queue' created successfully
2025-06-20 11:24:49 | INFO | PID:12296 | Creating queue with RabbitMQ host: localhost
2025-06-20 11:24:49 | INFO | PID:12296 | Attempting to create queue: article-request-queue
2025-06-20 11:24:49 | INFO | PID:12296 | Successfully created channel
2025-06-20 11:24:49 | INFO | PID:12296 | Queue 'article-request-queue' already exists
2025-06-20 11:26:28 | INFO | PID:12296 | Creating queue with RabbitMQ host: localhost
2025-06-20 11:26:28 | INFO | PID:12296 | Attempting to create queue: article-request-queue
2025-06-20 11:26:28 | INFO | PID:12296 | Successfully created channel
2025-06-20 11:26:28 | INFO | PID:12296 | Queue 'article-request-queue' already exists
2025-06-20 14:31:12 | INFO | PID:23468 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:31:12 | INFO | PID:23468 | Attempting to create queue: article-response-queue
2025-06-20 14:31:12 | INFO | PID:23468 | Successfully created channel
2025-06-20 14:31:12 | INFO | PID:23468 | Queue 'article-response-queue' already exists
2025-06-20 14:32:04 | INFO | PID:32036 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:32:04 | INFO | PID:32036 | Attempting to create queue: article-response-queue
2025-06-20 14:32:04 | INFO | PID:32036 | Successfully created channel
2025-06-20 14:32:04 | INFO | PID:32036 | Queue 'article-response-queue' already exists
2025-06-20 14:32:07 | INFO | PID:32036 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:32:07 | INFO | PID:32036 | Attempting to create queue: article-response-queue
2025-06-20 14:32:07 | INFO | PID:32036 | Successfully created channel
2025-06-20 14:32:07 | INFO | PID:32036 | Queue 'article-response-queue' already exists
2025-06-20 14:35:04 | INFO | PID:32036 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:35:04 | INFO | PID:32036 | Attempting to create queue: article-request-queue
2025-06-20 14:35:04 | INFO | PID:32036 | Successfully created channel
2025-06-20 14:35:04 | INFO | PID:32036 | Queue 'article-request-queue' already exists
2025-06-20 14:37:30 | INFO | PID:23396 | Queue 'article-request-queue' created successfully
2025-06-20 14:39:12 | INFO | PID:38676 | Attempting to create queue: article-request-queue
2025-06-20 14:39:12 | INFO | PID:38676 | Successfully created channel
2025-06-20 14:39:12 | INFO | PID:38676 | Queue 'article-request-queue' already exists
2025-06-20 14:40:33 | INFO | PID:10664 | Attempting to create queue: article-request-queue
2025-06-20 14:40:33 | INFO | PID:10664 | Successfully created channel
2025-06-20 14:40:33 | INFO | PID:10664 | Queue 'article-request-queue' is ready with 0 messages
2025-06-20 14:42:01 | INFO | PID:2196 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:42:01 | INFO | PID:2196 | Attempting to create queue: article-request-queue
2025-06-20 14:42:01 | INFO | PID:2196 | Successfully created channel
2025-06-20 14:42:01 | INFO | PID:2196 | Queue 'article-request-queue' already exists
2025-06-20 14:47:54 | INFO | PID:2196 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:47:54 | INFO | PID:2196 | Attempting to create queue: article-request-queue
2025-06-20 14:47:55 | INFO | PID:2196 | Successfully created channel
2025-06-20 14:47:55 | INFO | PID:2196 | Queue 'article-request-queue' already exists
2025-06-20 14:47:57 | INFO | PID:2196 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:47:57 | INFO | PID:2196 | Attempting to create queue: article-request-queue
2025-06-20 14:47:57 | INFO | PID:2196 | Successfully created channel
2025-06-20 14:47:57 | INFO | PID:2196 | Queue 'article-request-queue' already exists
2025-06-20 14:55:21 | INFO | PID:37004 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:55:21 | INFO | PID:37004 | Attempting to create queue: article-request-queue
2025-06-20 14:55:21 | INFO | PID:37004 | Successfully created channel
2025-06-20 14:55:21 | INFO | PID:37004 | Queue 'article-request-queue' already exists
2025-06-20 14:55:35 | INFO | PID:37004 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:55:35 | INFO | PID:37004 | Attempting to create queue: article-request-queue
2025-06-20 14:55:35 | INFO | PID:37004 | Successfully created channel
2025-06-20 14:55:35 | INFO | PID:37004 | Queue 'article-request-queue' already exists
2025-06-20 14:55:46 | INFO | PID:37004 | Creating queue with RabbitMQ host: localhost
2025-06-20 14:55:46 | INFO | PID:37004 | Attempting to create queue: article-request-sdfsdfsdfsdfsdfsdf
2025-06-20 14:55:46 | INFO | PID:37004 | Successfully created channel
2025-06-20 14:55:46 | INFO | PID:37004 | Queue 'article-request-sdfsdfsdfsdfsdfsdf' does not exist, creating it
2025-06-20 14:55:46 | INFO | PID:37004 | Queue 'article-request-sdfsdfsdfsdfsdfsdf' and its DLQ created successfully
2025-06-20 15:01:08 | INFO | PID:38516 | Creating queue with RabbitMQ host: localhost
2025-06-20 15:01:08 | INFO | PID:38516 | Attempting to create queue: article-request-queue
2025-06-20 15:01:08 | INFO | PID:38516 | Attempting to connect to RabbitMQ at localhost:5672
2025-06-20 15:01:08 | INFO | PID:38516 | Connection attempt 1 of 3
2025-06-20 15:01:08 | INFO | PID:38516 | Successfully established RabbitMQ connection
2025-06-20 15:01:08 | INFO | PID:38516 | Successfully created channel
2025-06-20 15:01:08 | INFO | PID:38516 | Queue 'article-request-queue' already exists
